2010-12-12 16:05:28 Notice: Notice (8): Undefined property: CestyController::$Category in [/home/komisek/web/transportmanager/controllers/cesty_controller.php, line 7]
2010-12-12 16:13:11 Notice: Notice (8): Undefined property: CestyController::$primaryKey in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 182]
2010-12-12 16:13:11 Notice: Notice (8): Undefined property: CestyController::$displayField in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 183]
2010-12-12 16:13:48 Notice: Notice (8): Undefined property: CestyController::$primaryKey in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 182]
2010-12-12 16:13:48 Notice: Notice (8): Undefined property: CestyController::$displayField in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 183]
2010-12-12 16:14:59 Notice: Notice (8): Undefined property: CestyController::$primaryKey in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 182]
2010-12-12 16:14:59 Notice: Notice (8): Undefined property: CestyController::$displayField in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 183]
2010-12-12 16:15:00 Notice: Notice (8): Undefined property: CestyController::$primaryKey in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 182]
2010-12-12 16:15:00 Notice: Notice (8): Undefined property: CestyController::$displayField in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 183]
2010-12-12 16:15:00 Notice: Notice (8): Undefined property: CestyController::$primaryKey in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 182]
2010-12-12 16:15:00 Notice: Notice (8): Undefined property: CestyController::$displayField in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 183]
2010-12-12 16:15:01 Notice: Notice (8): Undefined property: CestyController::$primaryKey in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 182]
2010-12-12 16:15:01 Notice: Notice (8): Undefined property: CestyController::$displayField in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 183]
2010-12-12 16:15:01 Notice: Notice (8): Undefined property: CestyController::$primaryKey in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 182]
2010-12-12 16:15:01 Notice: Notice (8): Undefined property: CestyController::$displayField in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 183]
2010-12-12 16:17:33 Notice: Notice (8): Undefined property: CestyController::$primaryKey in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 182]
2010-12-12 16:17:33 Notice: Notice (8): Undefined property: CestyController::$displayField in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 183]
2010-12-12 16:23:47 Notice: Notice (8): Undefined property: CestyController::$primaryKey in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 182]
2010-12-12 16:23:47 Notice: Notice (8): Undefined property: CestyController::$displayField in [/home/komisek/web/cakeweb/cake/libs/controller/scaffold.php, line 183]
